"rsid"	"pval_method2"
"rs1"	0.194256001737663
"rs2"	0.0516868932325697
"rs3"	0.807553483283157
"rs4"	0.506208816095141
"rs5"	0.0193334297219928
"rs6"	0.867273504943283
"rs7"	0.934139132003904
"rs8"	0.367636660715621
"rs9"	0.904118173065933
"rs10"	0.99999999
"rs11"	0.865048117904064
"rs12"	0.663692258496693
"rs13"	0.975008260644279
"rs14"	0.908111823920914
"rs15"	0.53758181555424
"rs16"	0.350728770483953
"rs17"	0.275426974994776
"rs18"	0.865271530196859
"rs19"	0.71392161420139
"rs20"	1e-08
"rs21"	0.38546288639029
"rs22"	0.99999999
"rs23"	0.735179946070709
"rs24"	0.916137213798931
"rs25"	0.857007504758698
"rs26"	0.691503498479699
"rs27"	1e-08
"rs28"	0.99999999
"rs29"	0.551827836611708
"rs30"	1e-08
"rs31"	0.932645751315507
"rs32"	0.0931427940935217
"rs33"	0.520347786962106
"rs34"	0.558295953857611
"rs35"	0.988165675381343
"rs36"	0.00652679536796763
"rs37"	0.436871510772231
"rs38"	0.0705522795973252
"rs39"	0.200317787695297
"rs40"	0.97999081261797
"rs41"	0.974651330029444
"rs42"	0.0611203763492882
"rs43"	0.746549457559837
"rs44"	0.356848832069513
"rs45"	0.402143764263372
"rs46"	0.33700225923277
"rs47"	0.307501671490879
"rs48"	0.862742821340253
"rs49"	0.798597315606824
"rs50"	0.452365463604477
"rs51"	0.562400750565874
"rs52"	0.67750391818153
"rs53"	0.0271053127582797
"rs54"	0.244040585546074
"rs55"	0.595172326961708
"rs56"	0.250650439384419
"rs57"	0.76071136316968
"rs58"	0.99999999
"rs59"	0.860623395402209
"rs60"	0.647756277883566
"rs61"	0.81991896903281
"rs62"	0.131889464218759
"rs63"	0.156377804722107
"rs64"	0.423861686524361
"rs65"	0.607151953310682
"rs66"	0.330492230633522
"rs67"	0.626841568749716
"rs68"	1e-08
"rs69"	0.192692808935812
"rs70"	0.788565916688571
"rs71"	0.361530162510308
"rs72"	0.71936134804873
"rs73"	0.340917983157006
"rs74"	0.116553125604085
"rs75"	0.419908956545076
"rs76"	0.561043478506549
"rs77"	0.918305563080819
"rs78"	0.246170461617337
"rs79"	0.899961028766601
"rs80"	0.356652903895753
"rs81"	0.96614160932773
"rs82"	0.159088525249875
"rs83"	0.486445015380701
"rs84"	0.99999999
"rs85"	0.247046929770583
"rs86"	0.732575656793688
"rs87"	0.177664852011254
"rs88"	0.991343764532361
"rs89"	0.336521106416521
"rs90"	0.340385326628429
"rs91"	0.200376189971697
"rs92"	0.0660338181302516
"rs93"	0.633007834676757
"rs94"	0.99999999
"rs95"	0.449317967345535
"rs96"	0.313355687222743
"rs97"	0.725011006451864
"rs98"	1e-08
"rs99"	0.555833925810439
"rs100"	1e-08
"rs101"	0.526573800553638
"rs102"	0.828294761874787
"rs103"	0.840350436099464
"rs104"	0.606250468403317
"rs105"	0.977198368962393
"rs106"	0.478093359236892
"rs107"	0.971030015619806
"rs108"	0.99999999
"rs109"	0.0883758192247882
"rs110"	0.619171427966247
"rs111"	0.695836893582092
"rs112"	0.953545437732907
"rs113"	0.50459170074033
"rs114"	0.379114378812421
"rs115"	0.605510427509566
"rs116"	0.462797883038768
"rs117"	0.802763861260799
"rs118"	0.889250136400046
"rs119"	0.214618377135165
"rs120"	0.947872582018703
"rs121"	0.546278041539599
"rs122"	0.167350107046851
"rs123"	0.375401212374482
"rs124"	0.420153528346906
"rs125"	0.262267543739095
"rs126"	0.487641628662188
"rs127"	0.354712504300126
"rs128"	0.463346755453627
"rs129"	0.288891511857953
"rs130"	1e-08
"rs131"	0.23146131958778
"rs132"	0.857391744166022
"rs133"	0.559193526870755
"rs134"	0.00161344901201911
"rs135"	0.782824109310401
"rs136"	0.893774829231987
"rs137"	0.794941531633576
"rs138"	0.195245103367478
"rs139"	0.74684867203837
"rs140"	0.446230310131353
"rs141"	0.749321565879245
"rs142"	1e-08
"rs143"	0.193261466682136
"rs144"	0.454441889878519
"rs145"	0.928950179801278
"rs146"	0.180761755100872
"rs147"	0.521572227575551
"rs148"	0.501207792538198
"rs149"	0.373193659771804
"rs150"	0.675315149915255
"rs151"	0.937753030375033
"rs152"	0.221628865177881
"rs153"	0.553316060732867
"rs154"	0.678312000106136
"rs155"	0.160184305792947
"rs156"	0.78248356462431
"rs157"	0.818729699323881
"rs158"	0.0455280383101461
"rs159"	0.745525220612875
"rs160"	0.0681666535680318
"rs161"	0.0810850793917989
"rs162"	0.99999999
"rs163"	0.143314176138667
"rs164"	1e-08
"rs165"	0.14228261530841
"rs166"	1e-08
"rs167"	0.82045143002076
"rs168"	1e-08
"rs169"	0.99999999
"rs170"	0.950345559740647
"rs171"	0.776869575533346
"rs172"	0.633764994043366
"rs173"	0.0163236766798943
"rs174"	0.924191120441806
"rs175"	0.099319068056938
"rs176"	0.0847306049832282
"rs177"	0.734123763190798
"rs178"	0.977448412577074
"rs179"	0.406425659498402
"rs180"	0.371024297262716
"rs181"	0.39241511783357
"rs182"	0.421370207039837
"rs183"	0.201025173085207
"rs184"	0.631103908539116
"rs185"	0.608482910713443
"rs186"	0.917106560918246
"rs187"	0.704975572601769
"rs188"	0.876156877505632
"rs189"	0.932351273985217
"rs190"	0.15966552480643
"rs191"	0.113458266702246
"rs192"	0.436124564273786
"rs193"	0.503116075863788
"rs194"	0.653722535346351
"rs195"	1e-08
"rs196"	0.0478345367637467
"rs197"	0.751892849883113
"rs198"	0.342849164248653
"rs199"	0.599989996350267
"rs200"	1e-08
"rs201"	0.444856147821296
"rs202"	0.527208276846128
"rs203"	0.504162786464695
"rs204"	0.526789643116082
"rs205"	0.372205095555699
"rs206"	0.885513068168855
"rs207"	0.531016709544272
"rs208"	0.714919325233155
"rs209"	0.152954570105563
"rs210"	0.103771996664299
"rs211"	0.469682702715833
"rs212"	0.934412049810909
"rs213"	0.251839373749361
"rs214"	0.606195138059893
"rs215"	0.783103006551169
"rs216"	0.781159932881761
"rs217"	0.21874468390608
"rs218"	0.99999999
"rs219"	0.329363730220194
"rs220"	0.495645923620541
"rs221"	0.864407059912147
"rs222"	0.829246918595655
"rs223"	0.201424071891554
"rs224"	0.66945737227946
"rs225"	0.0884835403483065
"rs226"	0.95231791144997
"rs227"	0.978719969890371
"rs228"	0.438008907619746
"rs229"	0.768231963831328
"rs230"	0.265315769845366
